Product Line,Month,Growth
Recoil,2023-04,370.32%
Recoil,2023-05,116.24%
Recoil,2023-06,221.79%
Recoil,2023-07,1370.81%
Recoil,2023-09,1633.56%
Recoil,2023-10,-9.81%
Recoil,2023-11,16.32%
Recoil,2023-12,65.38%
Recoil,2024-01,-8.77%
Recoil,2024-02,-53.71%
Recoil,2024-03,98.14%
Recoil,2024-04,84.22%
Hyjal Hero,2023-04,-27.54%
Hyjal Hero,2023-05,-19.44%
Hyjal Hero,2023-06,34.04%
Hyjal Hero,2023-07,-38.24%
Hyjal Hero,2023-08,-27.14%
Hyjal Hero,2023-09,1.67%
Hyjal Hero,2023-10,-24.53%
Hyjal Hero,2023-11,72.13%
Hyjal Hero,2023-12,55.71%
Hyjal Hero,2024-01,33.90%
Hyjal Hero,2024-02,-18.87%
Hyjal Hero,2024-03,45.07%
Hyjal Hero,2024-04,-26.00%
Stalker,2023-04,-3.81%
Stalker,2023-05,366.67%
Stalker,2023-06,2500.00%
Stalker,2023-07,10.71%
Stalker,2023-08,-4.35%
Stalker,2023-09,15.00%
Stalker,2023-10,-2300.00%
Stalker,2023-11,316.82%
Stalker,2023-12,27.57%
Stalker,2024-01,-82.61%
Stalker,2024-02,3.22%
Stalker,2024-03,-5.56%
Stalker,2024-04,9.48%
Karax- Rainbow,2023-04,21.32%
Karax- Rainbow,2023-05,-6.96%
Karax- Rainbow,2023-06,84.02%
Karax- Rainbow,2023-07,32.72%
Karax- Rainbow,2023-08,89.35%
Karax- Rainbow,2023-09,107.32%
Karax- Rainbow,2023-10,928.11%
Karax- Rainbow,2023-11,69.30%
Karax- Rainbow,2023-12,90.53%
Karax- Rainbow,2024-01,-29.97%
Karax- Rainbow,2024-02,63.62%
Karax- Rainbow,2024-03,400.99%
Karax- Rainbow,2024-04,3.96%
Artanis WL,2023-09,4.21%
Artanis WL,2023-10,-65.73%
Artanis WL,2023-11,-2.18%
Artanis WL,2023-12,-15.26%
Artanis WL,2024-01,16.09%
Artanis WL,2024-02,47.76%
Artanis WL,2024-03,19.03%
Artanis WL,2024-04,2.74%
WCB-Pattaya,2023-04,-43.59%
WCB-Pattaya,2023-05,-48.85%
WCB-Pattaya,2023-06,-3.95%
WCB-Pattaya,2023-07,-18.75%
WCB-Pattaya,2023-08,55.84%
WCB-Pattaya,2023-09,10.30%
WCB-Pattaya,2023-10,-7.04%
WCB-Pattaya,2023-11,-11.64%
WCB-Pattaya,2023-12,-22.53%
WCB-Pattaya,2024-01,0.84%
WCB-Pattaya,2024-02,66.97%
WCB-Pattaya,2024-03,0.77%
WCB-Pattaya,2024-04,36.04%
WCB-Barcelona,2023-04,-42.04%
WCB-Barcelona,2023-05,-2.75%
WCB-Barcelona,2023-06,13.85%
WCB-Barcelona,2023-07,-23.08%
WCB-Barcelona,2023-08,-13.95%
WCB-Barcelona,2023-09,22.17%
WCB-Barcelona,2023-10,2.19%
WCB-Barcelona,2023-11,31.62%
WCB-Barcelona,2023-12,15.06%
WCB-Barcelona,2024-01,6.91%
WCB-Barcelona,2024-02,45.28%
WCB-Barcelona,2024-03,14.29%
WCB-Barcelona,2024-04,32.43%
WCB-Rangoon Nara,2023-04,-32.04%
WCB-Rangoon Nara,2023-05,74.22%
WCB-Rangoon Nara,2023-06,21.26%
WCB-Rangoon Nara,2023-07,-1.17%
WCB-Rangoon Nara,2023-08,47.04%
WCB-Rangoon Nara,2023-09,23.19%
WCB-Rangoon Nara,2023-10,11.43%
WCB-Rangoon Nara,2023-11,19.25%
WCB-Rangoon Nara,2023-12,24.91%
WCB-Rangoon Nara,2024-01,-1.03%
WCB-Rangoon Nara,2024-02,38.23%
WCB-Rangoon Nara,2024-03,38.06%
WCB-Rangoon Nara,2024-04,64.79%
WCB-Samui,2023-04,-16.40%
WCB-Samui,2023-05,-21.50%
WCB-Samui,2023-06,78.90%
WCB-Samui,2023-07,42.70%
WCB-Samui,2023-08,79.47%
WCB-Samui,2023-09,61.79%
WCB-Samui,2023-10,33.77%
WCB-Samui,2023-11,28.68%
WCB-Samui,2023-12,57.55%
WCB-Samui,2024-01,139.07%
WCB-Samui,2024-02,62.83%
WCB-Samui,2024-03,200.49%
WCB-Samui,2024-04,30.24%
