,Parent Store Number,Parent Store Address,Parent Store City Name,Parent Store State,Parent Store Postal Cd,Parent Store Country,Coordinates,Assigned Warehouse
0,1531,52 E 14TH ST NUMBER 64,NEW YORK,NY,10003-4140,US,"(40.7344365, -73.9904475)","Olive Branch, MS"
1,183,2909 LOS FELIZ BLVD,LOS ANGELES,CA,90039-1502,US,"(34.1262373, -118.263128)","Henderson, CO"
2,358,611 MARKS ST,HENDERSON,NV,89014-8600,US,"(36.0645271, -115.0382938)","Henderson, CO"
3,1044,6950 ARROYO CROSSING PKWY,LAS VEGAS,NV,89113-4055,US,"(36.045175, -115.248501)","Henderson, CO"
4,557,8450 S DIXIE HWY DADELAND STATION,MIAMI,FL,33143-7804,US,"(25.692287, -80.304033)","Olive Branch, MS"
5,1499,7308 S OLYMPIA AVE,TULSA,OK,74132-1849,US,"(36.0579924, -96.003446)","Olive Branch, MS"
6,1470,1834 JOE BATTLE BLVD,EL PASO,TX,79936-0962,US,"(31.7565095, -106.2681843)","Henderson, CO"
7,462,12675 CITRUS PLAZA DR,TAMPA,FL,33625-3008,US,"(28.063652, -82.576602)","Olive Branch, MS"
8,190,5065 ALMADEN EXPY,SAN JOSE,CA,95118-2051,US,"(37.2561525, -121.8772641)","Henderson, CO"
9,350,9930 SOUTHSIDE BLVD,JACKSONVILLE,FL,32256-0783,US,"(30.1902227, -81.5542093)","Olive Branch, MS"
10,660,3690 N FREEWAY BLVD,SACRAMENTO,CA,95834-2904,US,"(38.6378233, -121.495833)","Henderson, CO"
11,1400,2833 W RIDGE RD,ROCHESTER,NY,14626-1632,US,"(43.2085829, -77.7054788)","Olive Branch, MS"
12,1768,6006 E SAM HOUSTON PKWY N,HOUSTON,TX,77049-2511,US,"(29.8274105, -95.1722354)","Olive Branch, MS"
